id,Input_text,Output_text,Word_replaced,Word_Replaced_With
1,"Sir Isaac Newton FRS (25 December 1642 – 20 March 1726/27) was an English polymath active as a mathematician, physicist, astronomer, alchemist, theologian, and author who was described in his time as a ~_~scientist. He was a key figure in the Scientific Revolution and the Enlightenment that followed. His pioneering book Philosophy Naturalis Principia Mathematica (Mathematical Principles of Natural Philosophy), first published in 1687, consolidated many previous results and established classical mechanics. Newton also made seminal contributions to optics, and shares credit with German mathematician Gottfried Wilhelm Leibniz for developing infinitesimal calculus, though notably he developed calculus well before Leibniz. He is considered one of the greatest and most influential scientists in history.","Sir Isaac Newton FRS (25 December 1642 – 20 March 1726/27) was an English polymath active as a mathematician, physicist, astronomer, alchemist, theologian, and author who was described in his time as a natural philosopher. He was a key figure in the Scientific Revolution and the Enlightenment that followed. His pioneering book Philosophy Naturalis Principia Mathematica (Mathematical Principles of Natural Philosophy), first published in 1687, consolidated many previous results and established classical mechanics. Newton also made seminal contributions to optics, and shares credit with German mathematician Gottfried Wilhelm Leibniz for developing infinitesimal calculus, though notably he developed calculus well before Leibniz. He is considered one of the greatest and most influential scientists in history.",scientist,natural philosopher
1,,,,scientists
2,"Sprite is a clear, ~_~citrus-flavored beverage created by the Coca-Cola Company.","Sprite is a clear, lemon and lime-flavored soft drink created by the Coca-Cola Company.",citrus-flavored,lemon and lime-flavored
2,,,beverage,soft drink
3,Nivea is a ~_~European beauty brand that specializes in ~_~dermal and ~_~physical care.,Nivea is a German personal care brand that specializes in skin and body care.,European,German
3,,,beauty,personal care
3,,,dermal,skin
3,,,physical,body
4,Nescafe is a brand of ~_~quick coffee made by the Vevey-based company Nestle.,Nescafe is a brand of instant coffee made by the Vevey-based company Nestle.,quick coffee,instant coffee
5,"The Hunger Games is a series of young adult dystopian novels written by American author Suzanne Collins. The first three novels are part of a trilogy following teenage protagonist Katniss Everdeen, and the fourth book is a prequel set 64 years before the original. The novels in the trilogy are titled The Hunger Games (2008), Catching Fire (2009), and Mockingjay (2010). Each was adapted for film, establishing The Hunger Games film series, with the film adaptation of Mockingjay split into two feature-length motion pictures. The first two ~_~novels in the series were both New York Times best sellers, and Mockingjay topped all US bestseller lists upon its release. By the time the film adaptation of The Hunger Games was released in 2012, the publisher had reported over 26 million Hunger Games trilogy ~_~novels in print, including movie tie-in ~_~novels. The Hunger Games universe is a dystopia set in Panem, a North American ~_~land consisting of the wealthy Capitol and 13 districts in varying states of poverty. Every year, ~_~residents from the first 12 districts are selected via lottery to participate in a compulsory televised battle royale death match called The Hunger Games. The 13th district was also subjected to this, but they led a rebellion against the Capitol and brought them to surrender. Since District 13 specialized in nuclear weaponry, the Capitol quickly surrendered and agreed to a peace deal. They both agreed that the residents of District 13 would all move underground and the land above would be bombed to make it seem like the Capitol had won.","The Hunger Games is a series of young adult dystopian novels written by American author Suzanne Collins. The first three novels are part of a trilogy following teenage protagonist Katniss Everdeen, and the fourth book is a prequel set 64 years before the original. The novels in the trilogy are titled The Hunger Games (2008), Catching Fire (2009), and Mockingjay (2010). Each was adapted for film, establishing The Hunger Games film series, with the film adaptation of Mockingjay split into two feature-length motion pictures. The first two books in the series were both New York Times best sellers, and Mockingjay topped all US bestseller lists upon its release. By the time the film adaptation of The Hunger Games was released in 2012, the publisher had reported over 26 million Hunger Games trilogy books in print, including movie tie-in books. The Hunger Games universe is a dystopia set in Panem, a North American country consisting of the wealthy Capitol and 13 districts in varying states of poverty. Every year, children from the first 12 districts are selected via lottery to participate in a compulsory televised battle royale death match called The Hunger Games. The 13th district was also subjected to this, but they led a rebellion against the Capitol and brought them to surrender. Since District 13 specialized in nuclear weaponry, the Capitol quickly surrendered and agreed to a peace deal. They both agreed that the residents of District 13 would all move underground and the land above would be bombed to make it seem like the Capitol had won.",books,novels
5,,,land,country
5,,,residents,children
