ID,Input,Output,Input_synonym,Output_synonym,Index
1,"The Labrador Retriever, or simply Labrador, is a British breed of retriever gun dog. It was bred in the United Kingdom from fishing dogs imported from the colony of Newfoundland (now a province of Canada), and was named after the Labrador region of that colony. It is among the most commonly kept dogs in several countries, particularly in the European world. The Labrador is friendly, energetic, and playful. It was bred as a sporting and hunting dog but is widely kept as a companion dog. It may also be trained as a guide or assistance dog, or for rescue or therapy work.","The Labrador Retriever, or simply Labrador, is a British breed of retriever gun dog. It was developed in the United Kingdom from fishing dogs imported from the colony of Newfoundland (now a province of Canada), and was named after the Labrador region of that colony. It is among the most commonly kept dogs in several countries, particularly in the European world. The Labrador is friendly, energetic, and playful. It was bred as a sporting and hunting dog but is widely kept as a companion dog. It may also be trained as a guide or assistance dog, or for rescue or therapy work.",bred,developed,20
2,"An angel is a celestial being in various traditions and mythologies. Abrahamic traditions describe angels as guiding celestial beings who act as intermediaries between God (or Heaven) and humanity. Other roles of angels include protecting and guiding human beings, and carrying out God's tasks. Within these traditions, angels are often depicted as having the human form of extraordinary beauty; they are often identified with symbols such as bird wings, halos, and light.","An angel is a supernatural being in various traditions and mythologies. Abrahamic religions describe angels as benevolent celestial beings who act as intermediaries between God (or Heaven) and humanity. Other roles of angels include protecting and guiding human beings, and carrying out God's tasks. Within these religions, angels are often depicted as having the human form of extraordinary beauty; they are often identified with symbols such as bird wings, halos, and light.",celestial,supernatural,5
2,,,traditions,religions,31
2,,,guiding,benevolent,77
2,,,traditions,religions,89
3,"Attachment theory is a psychological, evolutionary, and ethological theory concerning relationships between humans. The most important tenet is that young children need to develop a relationship with at least one primary caregiver for normal social and psychological development. The theory was formulated by psychiatrist and psychoanalyst John Bowlby. Within attachment theory, infant behaviour associated with attachment is primarily the seeking of proximity to an attachment figure in stressful situations. Infants become attached to adults who are sensitive and responsive in social relationships with them, and who remain as consistent caregivers for some months during the period from about six months to two years of age. During the latter part of this period, children begin to use attachment figures (familiar people) as a secure base to explore from and return to. Parental responses lead to the development of patterns of attachment; these, in turn, lead to internal working models that will guide the individual's feelings, thoughts, and expectations in later relationships. Separation anxiety or grief following the loss of an attachment figure is considered to be a normal and adaptive response for an attached infant. These behaviours may have evolved because they increase the probability of survival for the child.","Attachment theory is a psychological, evolutionary, and ethological theory concerning relationships between humans. The most important tenet is that young children need to develop a relationship with at least one primary caregiver for normal social and emotional development. The theory was formulated by psychiatrist and psychoanalyst John Bowlby. Within attachment theory, infant behaviour associated with attachment is primarily the seeking of proximity to an attachment figure in stressful situations. Infants become attached to adults who are sensitive and responsive in social interactions with them, and who remain as consistent caregivers for some months during the period from about six months to two years of age. During the latter part of this period, children begin to use attachment figures (familiar people) as a secure base to explore from and return to. Parental responses lead to the development of patterns of attachment; these, in turn, lead to internal working models that will guide the individual's feelings, thoughts, and expectations in later relationships. Separation anxiety or grief following the loss of an attachment figure is considered to be a normal and adaptive response for an attached infant. These behaviours may have evolved because they increase the probability of survival for the child.",psychological,emotional,113
3,,,relationships,interactions,240
4,"The Gulag was the government administration in charge of the Soviet network of forced labor camps which were set up by order of Vladimir Lenin, reaching its peak during Joseph Stalin's rule from the 1930s to the early 1950s. English-language speakers also use the word gulag to refer to each of the forced-labor camps that existed in the Soviet Union, including the camps that existed in the post-Lenin era. The full official name of the administration changed several times. The Gulag is recognized as a major instrument of political repression in the Soviet Union. The camps housed a wide range of prisoners, from petty criminals to political prisoners, a large number of whom were convicted by simplified procedures, such as NKVD troikas or other instruments of extrajudicial punishment. In 1918–1922, the administration was administered by the Cheka, followed by the GPU (1922–1923), the OGPU (1923–1934), later known as the NKVD (1934–1946), and the Ministry of Internal Affairs (MVD) in the final years. The Solovki prison camp, the first correctional labor camp which was constructed after the revolution, was opened in 1918 and legalized by a decree, 'On the creation of the forced-labor camps', on April 15, 1919. The internment system grew rapidly, reaching a population of 100,000 in the 1920s. By the end of 1940, the population of the Gulag camps amounted to 1.5 million. The emergent consensus among scholars is that, of the 14 million prisoners who passed through the Gulag camps and the 4 million prisoners who passed through the Gulag camps from 1930 to 1953, roughly 1.5 to 1.7 million prisoners perished there or they died soon after they were released. Some journalists and writers who question the reliability of such data heavily rely on memoir sources that come to higher estimations. Archival researchers have found 'no plan of destruction' of the gulag population and no statement of official intent to kill them, and prisoner releases vastly exceeded the number of deaths in the Gulag. This policy can partially be attributed to the common practice of releasing prisoners who were suffering from incurable diseases as well as prisoners who were near death. Almost immediately after the death of Stalin, the Soviet establishment started to dismantle the Gulag system. A mass general amnesty was granted in the immediate aftermath of Stalin's death, but it was only offered to non-political prisoners and political prisoners who had been sentenced to a maximum of five years in prison. Shortly thereafter, Nikita Khrushchev was elected First Secretary, initiating the processes of de-Stalinization and the Khrushchev Thaw, triggering a mass release and rehabilitation of political prisoners. Six years later, on 25 January 1960, the Gulag system was officially abolished when the remains of its administration were dissolved by Khrushchev. The legal practice of sentencing prisoners to penal labor continues to exist in the Russian Federation, but its capacity is greatly reduced.","The Gulag was the government agency in charge of the Soviet network of forced labor camps which were set up by order of Vladimir Lenin, reaching its peak during Joseph Stalin's rule from the 1930s to the early 1950s. English-language speakers also use the word gulag to refer to each of the forced-labor camps that existed in the Soviet Union, including the camps that existed in the post-Lenin era. The full official name of the agency changed several times. The Gulag is recognized as a major instrument of political repression in the Soviet Union. The camps housed a wide range of convicts, from petty criminals to political prisoners, a large number of whom were convicted by simplified procedures, such as NKVD troikas or other instruments of extrajudicial punishment. In 1918–1922, the agency was administered by the Cheka, followed by the GPU (1922–1923), the OGPU (1923–1934), later known as the NKVD (1934–1946), and the Ministry of Internal Affairs (MVD) in the final years. The Solovki prison camp, the first correctional labor camp which was constructed after the revolution, was opened in 1918 and legalized by a decree, 'On the creation of the forced-labor camps', on April 15, 1919. The internment system grew rapidly, reaching a population of 100,000 in the 1920s. By the end of 1940, the population of the Gulag camps amounted to 1.5 million. The emergent consensus among scholars is that, of the 14 million prisoners who passed through the Gulag camps and the 4 million convicts who passed through the Gulag colonies from 1930 to 1953, roughly 1.5 to 1.7 million prisoners perished there or they died soon after they were released. Some journalists and writers who question the reliability of such data heavily rely on memoir sources that come to higher estimations. Archival researchers have found 'no plan of destruction' of the gulag population and no statement of official intent to kill them, and prisoner releases vastly exceeded the number of deaths in the Gulag. This policy can partially be attributed to the common practice of releasing prisoners who were suffering from incurable diseases as well as prisoners who were near death. Almost immediately after the death of Stalin, the Soviet establishment started to dismantle the Gulag system. A mass general amnesty was granted in the immediate aftermath of Stalin's death, but it was only offered to non-political prisoners and political prisoners who had been sentenced to a maximum of five years in prison. Shortly thereafter, Nikita Khrushchev was elected First Secretary, initiating the processes of de-Stalinization and the Khrushchev Thaw, triggering a mass release and rehabilitation of political prisoners. Six years later, on 25 January 1960, the Gulag system was officially abolished when the remains of its agency were dissolved by Khrushchev. The legal practice of sentencing convicts to penal labor continues to exist in the Russian Federation, but its capacity is greatly reduced.",administration,agency,1
4,,,prisoners,convicts,2
4,,,prisoners,convicts,3
4,,,prisoners,convicts,4
5,"TreeHugger is a sustainability website that reports on news, and other subjects like eco-friendly design, homes, and gardens. It was rated the top sustainability blog of 2007 by Nielsen Netratings, and was included in Time Magazine's 2009 blog index as one of the top twenty-five blogs. The website reports 'over 100 expert writers.' All submissions are reviewed by the website's staff for accuracy and compliance with their editorial guidelines. [clarification needed] TreeHugger was acquired by Discovery Communications on August 1, 2020, for $10 million. In 2012, Mother Nature Network, created by Joel Babbit and Chuck Leavell (now Narrative Content Group) acquired TreeHugger. In 2020, Dotdash acquired TreeHugger and Mother Nature Network.","TreeHugger is a sustainability website that reports on news, and other subjects like eco-friendly design, homes, and gardens. It was rated the top sustainability blog of 2007 by Nielsen Netratings, and was included in Time Magazine's 2009 blog index as one of the top twenty-five blogs. The website boasts 'over 100 expert writers.' All submissions are reviewed by the website's staff for accuracy and compliance with their editorial guidelines. [clarification needed] TreeHugger was bought by Discovery Communications on August 1, 2020, for $10 million. In 2012, Mother Nature Network, founded by Joel Babbit and Chuck Leavell (now Narrative Content Group) acquired TreeHugger. In 2020, Dotdash acquired TreeHugger and Mother Nature Network.",boasts,reports,162
5,,,bought,acquired,162
6,"Mr. Clean (or Mr. Proper) is a brand name and mascot, owned by the American company Procter & Gamble. The all-purpose cleaner was originally formulated by Linwood Burton, a marine ship cleaning businessman with accounts throughout the east coast of the United States and his friend, Mathusan Chandramohan, a rich entrepreneur from Sri Lanka. In 1957, Harry Barnhart conceived the idea. Mr. Clean made his television commercial debut in 1958, initially portrayed in the United States by character actor House Peters Jr.","Mr. Clean (or Mr. Proper) is a brand name and mascot, owned by the American company Procter & Gamble. The all-purpose cleaner was originally formulated by Linwood Burton, a marine ship cleaning businessman with accounts throughout the east coast of the United States and his friend, Mathusan Chandramohan, a rich entrepreneur from Sri Lanka. In 1957, Harry Barnhart formulated the idea. Mr. Clean made his television commercial debut in 1958, initially portrayed in the United States by character actor House Peters Jr.",conceived,formulated,1
